"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"3034","204293_at",0.281580343566455,0.0872314930862904,3.69915799142106,0.00053240668162049,0.00241430997077219,-1.10641241767529,"SGSH","N-sulfoglucosamine sulfohydrolase"
"10043","223416_at",0.272358856592136,0.0177872474702763,3.69902203307712,0.00053263091522865,0.00241512649611266,-1.1068137852076,"SF3B6","splicing factor 3b subunit 6"
"15257","242775_at",0.349216183020044,0.0453808366792375,3.69883760933853,0.000532935226711133,0.00241630595575348,-1.10735821568098,NA,NA
"3154","204556_s_at",-0.620261596182236,-0.187542527496899,-3.69873999675813,0.000533096361473693,0.0024168361163826,-1.1076463678664,"DZIP1","DAZ interacting zinc finger protein 1"
"12665","230127_at",-0.708873609745154,0.196937157347308,-3.69863824535484,0.00053326437817755,0.00241739738635748,-1.1079467332155,NA,NA
"11078","226137_at",-0.436424729697534,0.0170101844783278,-3.69844072864016,0.000533590672077516,0.0024186760069506,-1.10852977974549,"ZFHX3","zinc finger homeobox 3"
"13916","235793_at",-0.295767551760639,0.060895912357556,-3.6982473723586,0.000533910278511973,0.00241992410491935,-1.1091005278864,"TPGS2","tubulin polyglutamylase complex subunit 2"
"11200","226395_at",-0.413142658456846,-0.0471595939756811,-3.69814029729118,0.000534087346219755,0.00242052599921793,-1.10941658420314,"HOOK3","hook microtubule tethering protein 3"
"10849","225677_at",-0.354505638831101,-0.0745375577373633,-3.69798565690545,0.0005343431710783,0.0024214846977792,-1.10987303108175,"BCAP29","B cell receptor associated protein 29"
"12891","230903_s_at",-0.711435465383461,-0.114064571733748,-3.69770773831108,0.000534803233145213,0.00242336870315055,-1.11069332666724,"TDRP","testis development related protein"
"11278","226579_at",-0.338145776597097,0.00431111981709761,-3.69754059834946,0.000535080096935293,0.00242442233363198,-1.11118663459879,NA,NA
"6457","212908_at",0.344751807682796,0.0102346322422116,3.69751079636417,0.00053512947772959,0.00242444516033024,-1.11127459280652,"DNAJC16","DnaJ heat shock protein family (Hsp40) member C16"
"5626","210766_s_at",0.381588071474635,0.111731543956204,3.69736235931676,0.000535375497573748,0.00242535879773342,-1.11171268698923,"CSE1L","chromosome segregation 1 like"
"5338","209947_at",0.360872091680024,0.0116969722061639,3.69723836270853,0.00053558109294702,0.00242608916792695,-1.11207864041724,"UBAP2L","ubiquitin associated protein 2 like"
"7394","215596_s_at",0.293358641461065,0.0307910590604264,3.69719284393349,0.000535656585379456,0.0024262301222452,-1.11221297903544,"LTN1","listerin E3 ubiquitin protein ligase 1"
"9201","220954_s_at",0.441841733663463,-0.0482531597562975,3.69695647654014,0.000536048762466974,0.00242780534193852,-1.11291054999418,"PILRB","paired immunoglobin like type 2 receptor beta"
